,IVT,lat,lon,uIVT,vIVT,IWV
0,13.103617139827977,59.5,-136.0,9.742286969804333,8.763140233111315,1.932570058985462
1,12.02217988853013,59.5,-136.0,8.740466933167255,8.254516767345507,1.9504456175603977
2,11.35960471663215,59.5,-136.0,7.892773056012807,8.16974618971787,1.9848216917429653
3,11.564454198106558,59.5,-136.0,7.738646896530181,8.593599077856041,2.034323238565868
4,12.273254210711938,59.5,-136.0,7.738646896530181,9.526075431760034,2.1195759025386494
5,13.633330043205733,59.5,-136.0,8.432214614202003,10.712863518546953,2.2364545547593906
6,16.071095090065175,59.5,-136.0,9.896413129286959,12.662586803982578,2.4055848397376423
7,19.30250912196594,59.5,-136.0,12.208305521526366,14.95139239992875,2.607716155931165
8,23.34158833602205,59.5,-136.0,15.059639471954963,17.83359203926838,2.837348331470743
9,28.2007344979209,59.5,-136.0,18.373351900831448,21.393956299629096,3.1494830850484945
10,44.205520751559554,59.5,-136.0,25.925533715480174,35.80495449632723,4.217891470642819
11,54.2829647922606,59.5,-136.0,32.78414781245708,43.2647653275592,4.924663555836496
12,54.87820860893957,59.5,-136.0,34.40247248702467,42.75614186179338,5.159795903245282
13,52.284921956822075,59.5,-136.0,32.47589549349182,40.97595973161303,5.191421891493249
14,50.66175880020985,59.5,-136.0,30.70344465944161,40.297795110591935,5.173546332918313
15,49.83879137792649,59.5,-136.0,28.853930745650086,40.63687742110248,5.107544270487779
16,48.98195099219746,59.5,-136.0,25.771407555997545,41.65412435263411,5.004416047940062
17,50.44042608472187,59.5,-136.0,24.307209040912593,44.1972416814632,5.011291262776574
18,52.24703661120349,59.5,-136.0,21.378812010742674,47.672835364196274,5.080043411141716
19,54.04886495543035,59.5,-136.0,17.217405704711748,51.23319962455699,5.174921375885617
20,56.08885367896115,59.5,-136.0,13.441314797387381,54.45448157440716,5.271174383596815
21,58.084703157679336,59.5,-136.0,10.744107006441407,57.08236948086388,5.397678336588683
22,68.4273997083833,59.5,-136.0,6.659763780151792,68.10254457245657,5.683687273787676
23,69.47249620258812,59.5,-136.0,5.041439105584207,69.28933265924348,5.73731394951249
24,67.82788330761515,59.5,-136.0,8.123962295236748,67.33960937380785,5.645186070703197
25,64.97719947744515,59.5,-136.0,11.514737803854544,63.948786268702406,5.515932031776728
26,64.18562981091544,59.5,-136.0,14.211945594800518,62.59245702666023,5.484306043528761
27,64.23439224773367,59.5,-136.0,14.057819435317889,62.677227604287864,5.474680742757641
28,63.694299896581356,59.5,-136.0,14.597260993507089,61.999062983266775,5.476055785724945
29,62.56694432223361,59.5,-136.0,15.059639471954963,60.72750431885223,5.455430141215402
30,61.43465352360878,59.5,-136.0,15.136702551696278,59.54071623206533,5.4733056997903375
31,60.64083433664089,59.5,-136.0,13.13306247842213,59.20163392155479,5.565433578599631
32,59.66441605091386,59.5,-136.0,8.663403853425944,59.03209276629951,5.679562144885772
33,57.77639518121906,59.5,-136.0,5.580880663773403,57.50622236900206,5.722188476872155
34,61.468209691257904,59.5,-136.0,15.59908103014416,59.45594565443769,5.700187789395308
35,57.05591903992299,59.5,-136.0,15.907333349109418,54.79356388491771,5.679562144885772
36,53.139241898299694,59.5,-136.0,16.3697118275573,50.555035003535906,5.672686930049252
37,47.113228002499355,59.5,-136.0,15.367891790920222,44.536323991973745,5.679562144885772
38,41.30125508482505,59.5,-136.0,13.518377877128696,39.02623644617739,5.740064035447091
39,35.83975802664066,59.5,-136.0,9.588160810321707,34.533395831912685,5.829441828321784
40,33.127300480378864,59.5,-136.0,4.964376025842892,32.75321370173232,5.942195351640613
41,31.483497364212425,59.5,-136.0,0.3405912413640806,31.481655037317793,6.026072972646091
42,32.01401915414507,59.5,-136.0,-3.5125627457015955,31.820737347828327,6.111325636618865
43,34.36096022387864,59.5,-136.0,-5.36207665949312,33.94000178851924,6.144326667834136
44,37.58028643997609,59.5,-136.0,-6.132707456906255,37.07651316074177,6.147076753768744
45,40.08036912881123,59.5,-136.0,-4.822635101303925,39.789171644826126,6.1237010233245925
46,33.42015081046687,59.5,-136.0,7.430394577564925,32.58367254647706,5.97382133988858
47,36.513977356289935,59.5,-136.0,9.665223890063018,35.21156045293377,5.949070566477133
48,36.952138673090246,59.5,-136.0,11.977116282302426,34.95724872005087,5.887193632948502
49,37.30589942981046,59.5,-136.0,13.903693275835263,34.61816640954032,5.821191570517961
50,37.9223321831604,59.5,-136.0,15.290828711178907,34.70293698716796,5.7675648947931535
51,38.40641212551866,59.5,-136.0,15.907333349109418,34.95724872005087,5.6713118870819486
52,38.786437987977926,59.5,-136.0,16.446774907298607,35.126789875306144,5.555808277828511
53,38.6522253043506,59.5,-136.0,15.753207189626789,35.296331030561404,5.4499299693461865
54,38.47216276851169,59.5,-136.0,14.28900867454183,35.72018391869959,5.366052348340716
55,38.726161859295125,59.5,-136.0,12.747747079715559,36.567889694975946,5.322050973387022
56,39.251080259337094,59.5,-136.0,11.591800883595859,37.500366048879954,5.2752995124987265
57,39.32353464502569,59.5,-136.0,11.283548564630603,37.669907204135214,5.235423266446944
58,36.72711919369679,59.5,-136.0,15.753207189626789,33.177066589870506,5.122669743128107
59,37.26348161210819,59.5,-136.0,13.13306247842213,34.87247814242323,4.994790747168942
60,38.890081789746894,59.5,-136.0,9.665223890063018,37.669907204135214,4.890287481653921
61,42.27907503883697,59.5,-136.0,6.736826859893103,41.73889493026175,4.838035848896418
62,45.15251551627672,59.5,-136.0,3.1148621120513695,45.04494745773955,4.778909001302388
63,45.21462096858395,59.5,-136.0,0.10940200214013984,45.21448861299483,4.667530520950862
