time,IVT,lat,lon,uIVT,vIVT,IWV
1979-12-04 15:00:00,74.88390385153788,59.5,-136.0,52.76710242463125,53.13409411813515,6.613280142408492
1979-12-04 16:00:00,71.69455190499703,59.5,-136.0,48.957041811681464,52.376682120076936,6.506217871129323
1979-12-04 17:00:00,71.39504416450801,59.5,-136.0,46.017852195977355,54.58580044774678,6.4773471462900005
1979-12-04 18:00:00,74.75898703663906,59.5,-136.0,49.555765622287865,55.97438911085354,6.618091929881707
1979-12-04 19:00:00,78.42587406646847,59.5,-136.0,51.95066086471343,58.751566437067055,6.689065795111723
1979-12-04 20:00:00,83.8083236957661,59.5,-136.0,52.277237488680555,65.50515675308625,6.650571495325956
1979-12-04 21:00:00,81.27422812680335,59.5,-136.0,52.05951973936914,62.412391094348465,6.638542026642902
1979-12-04 22:00:00,62.63641483700024,59.5,-136.0,52.05951973936914,34.829970831727934,6.263222603731663
1979-12-04 23:00:00,67.79453415134866,59.5,-136.0,66.265602881939,14.316729217650845,5.8494088810346625
1979-12-05 00:00:00,77.5328724903314,59.5,-136.0,77.53249640880478,0.24148958706874168,5.529425014065467
1979-12-05 01:00:00,97.67776609895807,59.5,-136.0,97.50809990812715,-5.754688730892241,5.668966850788877
1979-12-05 02:00:00,112.69640515305699,59.5,-136.0,112.31290686130342,-9.289278055163976,5.897526755766869
1979-12-05 03:00:00,127.50182497198337,59.5,-136.0,127.17214325180754,-9.163042722154273,6.2319459851557255
1979-12-05 04:00:00,143.91540126648178,59.5,-136.0,143.71869219947513,-7.521983393028108,6.702298210663081
1979-12-05 05:00:00,153.3271865352545,59.5,-136.0,153.2982731691774,-2.9775114046787223,7.1750563299070365
1979-12-05 06:00:00,164.68553209000595,59.5,-136.0,164.61959613337103,4.659726242408425,7.717585367512701
1979-12-05 07:00:00,175.42353687220668,59.5,-136.0,174.52575372704044,17.725083208912906,8.313044067323798
1979-12-05 08:00:00,191.8874238763782,59.5,-136.0,187.69767756038107,39.8793841521161,9.074509434961016
1979-12-05 09:00:00,204.11913869022266,59.5,-136.0,194.8823632876578,60.70821409871749,9.583355960254131
1979-12-05 10:00:00,206.69486533323183,59.5,-136.0,193.79377454110073,71.88004107007637,9.799886396549077
1979-12-05 11:00:00,215.1711295696912,59.5,-136.0,198.31141783931258,83.4936917069692,9.9201810833796
1979-12-05 12:00:00,219.2145372475867,59.5,-136.0,199.34557714854182,91.19404702056121,9.98634316113639
1979-12-05 13:00:00,220.87501728244362,59.5,-136.0,197.87598234068975,98.13699033609501,10.075361229390975
1979-12-05 14:00:00,219.90037903953896,59.5,-136.0,193.03176241851077,105.33240431764821,10.165582244513871
1979-12-05 15:00:00,224.16001390515788,59.5,-136.0,196.297528658182,108.2358169768714,10.189641181879974
1979-12-05 16:00:00,203.48283435979954,59.5,-136.0,173.05615891918836,107.03658131327924,9.505164413814292
1979-12-05 17:00:00,163.12781626584027,59.5,-136.0,131.52649823803586,96.49593100696885,8.511530300594163
1979-12-05 18:00:00,122.84860962421428,59.5,-136.0,92.55502111129245,80.77963204726055,7.780138604664575
1979-12-05 19:00:00,96.88147636990043,59.5,-136.0,77.36920809682121,58.30974277153305,7.152200339409241
1979-12-05 20:00:00,89.7678364896378,59.5,-136.0,78.07679078208331,44.297620807455786,6.638542026642902
1979-12-05 21:00:00,78.7972340396324,59.5,-136.0,72.79713536128148,30.159263510368845,5.735128928545663
1979-12-05 22:00:00,65.57228299729667,59.5,-136.0,62.78211889295636,18.924318872505097,5.079522885319307
1979-12-05 23:00:00,56.074024017167154,59.5,-136.0,55.27085654171252,9.456668896777217,4.147239062382745
1979-12-06 00:00:00,50.339408267921236,59.5,-136.0,50.26334830754996,2.7661962472628545,3.6323778027481026
1979-12-06 01:00:00,48.26114576844244,59.5,-136.0,48.24945912641937,1.062019251631824,3.433891569477737
1979-12-06 02:00:00,46.863421867415944,59.5,-136.0,46.83429375589516,-1.6520404080768287,3.433891569477737
1979-12-06 03:00:00,47.58073412997368,59.5,-136.0,47.106440942534434,-6.701453728465026,3.6672632619289516
1979-12-06 04:00:00,46.166130567109235,59.5,-136.0,44.929263449420276,-10.614749051765898,3.8994320075118623
1979-12-06 05:00:00,42.27702193697187,59.5,-136.0,40.629337900519815,-11.687749382348386,4.11957128441172
1979-12-06 06:00:00,35.14059427761087,59.5,-136.0,33.499081610570954,-10.614749051765898,4.189342202773425
1979-12-06 07:00:00,28.293043405950048,59.5,-136.0,27.239696317867754,-7.648218726037811,4.248286599320387
1979-12-06 08:00:00,23.734409933837817,59.5,-136.0,23.37520626759013,-4.113629401766076,4.172500946617156
1979-12-06 09:00:00,21.874394915901473,59.5,-136.0,21.796752585082373,-1.8413934075913971,4.037770897366968
1979-12-06 10:00:00,20.13533563212435,59.5,-136.0,20.109440027918893,-1.0208637430283147,3.7755284800764244
1979-12-06 11:00:00,20.926840515738572,59.5,-136.0,20.9258815878367,-0.20033407846523232,3.518097850259103
1979-12-06 12:00:00,21.93241503166539,59.5,-136.0,21.905611459738083,-1.083981409533152,3.3208145638570414
1979-12-06 13:00:00,22.812619849504944,59.5,-136.0,22.72205301965589,-2.030746407105937,3.1993169301582114
1979-12-06 14:00:00,22.91474097892153,59.5,-136.0,22.667623582328034,-3.356217403707859,3.1295460117965064
1979-12-06 15:00:00,22.157534004061258,59.5,-136.0,21.851182022410228,-3.671805736232102,3.0429338372785324
1979-12-06 16:00:00,21.68700190191116,59.5,-136.0,21.41574652378739,-3.4193350702126963,2.962336397102078
1979-12-06 17:00:00,23.65652321965589,59.5,-136.0,23.48406514224584,-2.8512760716690195,2.913015575501568
1979-12-06 18:00:00,24.85866560451998,59.5,-136.0,24.790371638114337,-1.8413934075913971,2.8336210821934174
1979-12-06 19:00:00,27.000644627406057,59.5,-136.0,26.967549131228495,-1.3364520755525575,2.7975326761442645
1979-12-06 20:00:00,29.162600240539206,59.5,-136.0,29.144726624342653,-1.0208637430283147,2.791517941802738
1979-12-06 21:00:00,30.468140423564176,59.5,-136.0,30.451033120211136,-1.0208637430283147,2.7987356230125684
1979-12-06 22:00:00,34.34504740709417,59.5,-136.0,34.097805421177355,-4.113629401766076,2.7061087141530606
1979-12-06 23:00:00,35.18046925680104,59.5,-136.0,34.80538810643945,-5.123512065843727,2.721747023441033
1979-12-07 00:00:00,33.906811715718824,59.5,-136.0,33.33579329858739,-6.196512396426215,2.7145293422312022
1979-12-07 01:00:00,31.793694157733658,59.5,-136.0,30.995327493489683,-7.080159727494134,2.7421971202022206
1979-12-07 02:00:00,30.009150638557404,59.5,-136.0,29.308014936326202,-6.44898306244562,2.8300122415885056
1979-12-07 03:00:00,25.314282566264247,59.5,-136.0,24.790371638114337,-5.123512065843727,2.822794560378675
1979-12-07 04:00:00,22.734948650417085,59.5,-136.0,22.50433527034447,-3.2299820706981563,2.822794560378675
1979-12-07 05:00:00,22.5879105148389,59.5,-136.0,22.558764707672324,-1.1470990760380175,2.892565478740373
1979-12-07 06:00:00,23.901244890040353,59.5,-136.0,23.865071203540822,1.3144899176512297,3.0236866873856485
1979-12-07 07:00:00,25.982337680733604,59.5,-136.0,25.715672072687852,3.7129612448356397,3.189693355211773
1979-12-07 08:00:00,27.308474386220617,59.5,-136.0,26.586543069933512,6.237667905029724,3.330438138803487
1979-12-07 09:00:00,27.943329948015975,59.5,-136.0,26.69540194458922,8.257433233185026,3.4411092506875676
1979-12-07 10:00:00,33.34475235970853,59.5,-136.0,31.37633355478465,11.28708122541795,3.7598901707884522
1979-12-07 11:00:00,35.709437018067,59.5,-136.0,33.33579329858739,12.801905221534412,3.988450075766451
