,IVT,lat,lon,uIVT,vIVT,IWV
0,14.81577165772691,59.5,-139.75,14.134882515059203,4.4398407741018815,4.524526052351362
1,11.994108945078677,59.5,-139.75,11.360611644371918,3.846446730708422,4.37464636891535
2,10.876026412533816,59.5,-139.75,9.202845411615137,5.79617001614406,4.246767372956185
3,11.339140795940244,59.5,-139.75,8.201025374978062,7.8306638792073215,4.162889751950708
4,11.04686847403746,59.5,-139.75,7.045079178858359,8.508828500228404,4.058386486435687
5,10.301138543667406,59.5,-139.75,6.274448381445225,8.16974618971787,3.9126319319015863
6,9.748457844721765,59.5,-139.75,4.270808308171073,8.763140233111315,3.7297512172503033
7,10.17511826078495,59.5,-139.75,2.806609793086114,9.780387164642946,3.487743655004998
8,11.265510375692312,59.5,-139.75,2.5754205538621733,10.96717525142985,3.2457360927596923
9,12.097993575460187,59.5,-139.75,2.9607359525687436,11.730110450078584,3.018854003154722
10,11.929482776613762,59.5,-139.75,4.887312946101581,10.882404673802213,3.137107698342767
11,11.189620287017545,59.5,-139.75,3.5001775107579363,10.628092940919316,2.9363514251165483
12,11.257988307058818,59.5,-139.75,2.883672872827429,10.882404673802213,2.7919719135497516
13,11.932814075551581,59.5,-139.75,2.1901051551556066,11.730110450078584,2.7053442066096665
14,12.759989151884293,59.5,-139.75,1.573600517225099,12.662586803982578,2.6888436910020346
15,14.951427373416529,59.5,-139.75,0.03233892239882863,14.95139239992875,2.914350737639708
16,20.495395790040032,59.5,-139.75,-2.202490390099264,20.376709368097465,3.6169976939314665
17,31.59275946823297,59.5,-139.75,-3.5125627457015955,31.396884459690156,5.051167508828357
18,48.967814555841834,59.5,-139.75,-5.207950500010492,48.690082295727905,7.022979123940665
19,63.18032736228713,59.5,-139.75,-8.598726008628288,62.59245702666023,8.690906243279045
20,69.12579813328796,59.5,-139.75,-14.070204670261548,67.6786916843184,9.559933398614454
21,71.55276000797683,59.5,-139.75,-22.470080362064724,67.93300341720129,10.111325628502904
22,77.80886073733086,59.5,-139.75,-25.937918950423832,73.35832038537,10.576090151451275
23,82.7804302431253,59.5,-139.75,-34.18366848274438,75.39281424843327,11.000978428347857
24,88.19087320990631,59.5,-139.75,-45.049562726269585,75.81666713657145,11.152233154751173
25,97.6729456162464,59.5,-139.75,-53.44943841807276,81.75060757050599,11.201734701574075
26,106.59360814069498,59.5,-139.75,-57.68790780384501,89.63427128987614,11.091731264189846
27,116.97309807639112,59.5,-139.75,-59.306232478412596,100.8239875367241,11.024354158792008
28,121.67240645202389,59.5,-139.75,-54.143006135744585,108.96196298897716,10.879974647225204
29,125.46062076671308,59.5,-139.75,-52.832933780142255,113.79388591375242,10.845598573042636
30,123.53364748784475,59.5,-139.75,-54.91363693315772,110.65737454152989,10.615966397503058
31,120.76894966161534,59.5,-139.75,-56.30077236850137,106.84269854828626,10.412460038342232
32,116.36818641578513,59.5,-139.75,-55.68426773057085,102.18031677876628,10.169077433129623
33,109.80927729861929,59.5,-139.75,-54.52832153445115,95.31389999092775,9.993071933314859
34,107.75597617344002,59.5,-139.75,-39.34689482541239,100.31536407095828,9.504931679922343
35,98.25823488794448,59.5,-139.75,-34.02954232326175,92.17738861870522,9.495306379151224
36,85.76334015387218,59.5,-139.75,-29.174568299559,80.64859006134671,9.470555605739769
37,72.84335827508228,59.5,-139.75,-26.939738987060906,67.6786916843184,9.410053715178442
38,62.92414103547955,59.5,-139.75,-26.477360508613025,57.08236948086388,9.418303972982258
39,59.440556669618275,59.5,-139.75,-27.86449594395667,52.50475828897153,9.564058527516366
40,60.70070449605902,59.5,-139.75,-28.635126741369806,53.52200522050316,9.837692078009631
41,59.95425453410572,59.5,-139.75,-27.01680206680222,53.52200522050316,10.239204624462069
42,56.62493947936265,59.5,-139.75,-23.93427887714968,51.317970202184625,10.488087401543886
43,52.047783150536894,59.5,-139.75,-23.240711159477858,46.570817855037006,10.507338003086133
44,50.376354168716965,59.5,-139.75,-23.70308963792574,44.45155341434611,10.592590667058907
45,50.51154726250226,59.5,-139.75,-22.85539576077129,45.04494745773955,10.621466569372267
46,44.88281290778567,59.5,-139.75,-0.8153549547556196,44.87540630248429,10.53208877649758
47,47.44013707048696,59.5,-139.75,-1.4318595926861306,47.41852363131336,10.510088089020734
48,46.3165277154256,59.5,-139.75,-0.04472415734248614,46.316506122154095,10.390459350865385
49,46.3165277154256,59.5,-139.75,-0.04472415734248614,46.316506122154095,10.360208405584721
50,49.82249685076931,59.5,-139.75,-1.7401119116513843,49.79209980488719,10.378083964159657
51,53.06573552336086,59.5,-139.75,-2.356616549581892,53.01338175473735,10.302456600958003
52,54.297018736151635,59.5,-139.75,-4.437319702597357,54.11539926389662,10.127826144110536
53,56.60460628471865,59.5,-139.75,-9.446419885782737,55.81081081644934,9.986196718478347
54,58.941511611329496,59.5,-139.75,-13.299573872848413,57.42145179137443,9.833566949107727
55,58.855066920530454,59.5,-139.75,-14.994961627157311,56.91282832560861,9.650686234456444
56,59.66839040546832,59.5,-139.75,-17.923358657327224,56.91282832560861,9.492556293216616
57,59.98061367300449,59.5,-139.75,-19.926998730601376,56.57374601509807,9.37017746912666
58,56.72717352602259,59.5,-139.75,-15.303213946122565,54.624022729662435,8.904037903210991
59,55.5601553828823,59.5,-139.75,-11.835375357763457,54.284940419151894,8.590528106665936
60,47.72580926202055,59.5,-139.75,-7.828095211215153,47.07944132080283,8.139514013390595
61,39.42599238401135,59.5,-139.75,-7.596905971991212,38.68715413566686,7.619747771750113
