time,IVT,lat,lon,uIVT,vIVT,IWV
1979-01-01 00:00:00,13.49636683519333,58.0,-135.5,-9.708346401008129,9.375496141972377,2.377691805925707
1979-01-01 01:00:00,14.529987504048194,58.0,-135.5,-10.070450967928366,10.47408965831147,2.2903012382828294
1979-01-01 02:00:00,21.088335281886504,58.0,-135.5,-13.112129330058423,16.5163539981765,2.6298760154094367
1979-01-01 03:00:00,36.38895874085349,58.0,-135.5,-20.499062495231414,30.065674033025346,3.7085253074586717
1979-01-01 04:00:00,60.141253677617,58.0,-135.5,-31.5794622429909,51.183082735987995,5.4700694638029645
1979-01-01 05:00:00,83.27949881825991,58.0,-135.5,-43.8910175182792,70.77466711070184,7.054335611500278
1979-01-01 06:00:00,98.9872625505902,58.0,-135.5,-53.30573625820554,83.40849254860149,7.981924065195393
1979-01-01 07:00:00,107.01036084678414,58.0,-135.5,-56.6370982738718,90.7934822973254,8.461323750550605
1979-01-01 08:00:00,107.12550953898752,58.0,-135.5,-56.85436101402394,90.7934822973254,8.611136152224113
1979-01-01 09:00:00,98.23196313537582,58.0,-135.5,-51.495213423604326,83.65262444112125,8.425119086812842
1979-01-01 10:00:00,74.0968214049453,58.0,-135.5,-38.96639540816386,63.02347952319823,8.346467575934255
1979-01-01 11:00:00,62.87289634090818,58.0,-135.5,-33.31756416420805,53.31923679553623,8.093034929769907
1979-01-01 12:00:00,51.63572655927192,58.0,-135.5,-25.93063099903506,44.65255461108336,7.946967838138242
1979-01-01 13:00:00,41.97262213743685,58.0,-135.5,-21.295692542455953,36.16897134602033,7.936980344693339
1979-01-01 14:00:00,35.48117390912801,58.0,-135.5,-19.412748794470673,29.699476194245648,7.925744414567831
1979-01-01 15:00:00,29.48066650966416,58.0,-135.5,-18.83338148739827,22.680684284301435,7.829614790160662
1979-01-01 16:00:00,25.445509378434,58.0,-135.5,-17.819488700021594,18.164244272685153,7.7259945456698205
1979-01-01 17:00:00,20.922863841658735,58.0,-135.5,-15.139914904811803,14.441232911758192,7.65733052823613
1979-01-01 18:00:00,15.216881998129438,58.0,-135.5,-10.360134621464567,11.145452362740912,7.6286164845820466
1979-01-01 19:00:00,10.52539528946142,58.0,-135.5,-4.783724290892792,9.375496141972377,7.674808641764706
1979-01-01 20:00:00,7.067740950178048,58.0,-135.5,1.0099487798311202,6.995210189904327,7.748466405920851
1979-01-01 21:00:00,8.97763421269359,58.0,-135.5,7.16572641747527,5.408352888525627,7.867067890579037
1979-01-01 22:00:00,9.859326172675935,58.0,-135.5,9.845300212685089,0.5257150381296469,7.875806947343328
1979-01-01 23:00:00,15.86708839275798,58.0,-135.5,15.856236023561138,0.5867480112596013,7.853335087092304
1979-01-02 00:00:00,18.582284126054024,58.0,-135.5,18.463388905386893,-2.098702806458192,7.769689829491263
1979-01-02 01:00:00,18.84376555769283,58.0,-135.5,18.31854707861882,-4.417955785396288,7.618628991137143
1979-01-02 02:00:00,18.210785317338033,58.0,-135.5,17.666758858162353,-4.417955785396288,7.500027506478951
1979-01-02 03:00:00,19.384626927474873,58.0,-135.5,19.042756212459295,-3.6245271347069377,7.411388502155461
1979-01-02 04:00:00,21.83423189436746,58.0,-135.5,21.64990909428505,-2.8310984840175877,7.289041707455432
1979-01-02 05:00:00,20.496752992304316,58.0,-135.5,20.273911739988108,-3.014197403407451,7.100527768682937
1979-01-02 06:00:00,17.055828964902396,58.0,-135.5,16.652866070785677,-3.685560107836892,6.833362319031856
1979-01-02 07:00:00,19.26572417126493,58.0,-135.5,18.897914385691166,-3.7465930809668464,6.785921725168578
1979-01-02 08:00:00,20.422465089299205,58.0,-135.5,19.839386259683835,-4.84518659730594,6.78092797844613
1979-01-02 09:00:00,18.983372683473398,58.0,-135.5,18.02886342508262,-5.943780113645033,6.7110155243318275
1979-01-02 10:00:00,17.221453092668543,58.0,-135.5,13.538766795271584,-10.643319044651179,6.618631209966502
1979-01-02 11:00:00,17.840177107938924,58.0,-135.5,14.91476414956847,-9.788857420831874,6.606146843160374
1979-01-02 12:00:00,22.50905350572959,58.0,-135.5,17.956442511698555,-13.572901754888761,6.783424851807354
1979-01-02 13:00:00,25.29044598409557,58.0,-135.5,18.101284338466627,-17.66211095459539,6.928243506758413
1979-01-02 14:00:00,26.57574725732583,58.0,-135.5,16.725286984169742,-20.652726637962928,6.963199733815564
1979-01-02 15:00:00,26.5754388021036,58.0,-135.5,13.46634588188752,-22.91094664377107,6.922001323355346
1979-01-02 16:00:00,27.35970834563882,58.0,-135.5,10.13498386622129,-25.413298542099028,6.862076362685947
1979-01-02 17:00:00,30.244601403088925,58.0,-135.5,7.8899355513157445,-29.197342876155915,6.788418598529802
1979-01-02 18:00:00,33.36478429073684,58.0,-135.5,5.427624496258119,-32.92035423708285,6.643599943578749
1979-01-02 19:00:00,35.18005146700195,58.0,-135.5,2.0962624805918324,-35.117541269761034,6.392664170775632
1979-01-02 20:00:00,35.45869668923404,58.0,-135.5,-1.597204101994663,-35.42270613541078,6.144225271333738
1979-01-02 21:00:00,35.65366566819726,58.0,-135.5,-6.159721645189734,-35.117541269761034,5.890792625169389
1979-01-02 22:00:00,38.04016403519702,58.0,-135.5,-11.446448322225308,-36.27716775923008,5.312766442045785
1979-01-02 23:00:00,35.48758595523007,58.0,-135.5,-16.660754085876817,-31.333496935704147,4.567449743720097
1979-01-03 00:00:00,30.047901182565116,58.0,-135.5,-18.543697833862097,-23.643342321330465,3.61863786645457
