time,time,IVT,lat,lon,uIVT,vIVT,IWV,ivtdir,AR,impact,prec,UVdir,extreme
1989-05-18,1989-05-18,26.359478357541068,59.5,-136.0,3.3590822048564704,19.47665685847207,8.636627711995885,359.5956970067757,0,0,,156.18625,0
1989-05-19,1989-05-19,29.481913423854685,59.5,-136.0,1.2226466122328148,26.2333664097132,7.906170974643395,183.3433441887346,0,0,,172.72513,0
1989-05-20,1989-05-20,81.81576180748553,59.5,-136.0,-18.788633438675458,10.509808668974529,9.98228174096478,119.22136505681122,0,0,,139.0191,0
1989-05-21,1989-05-21,91.5705463422008,59.5,-136.0,6.065233955513108,4.195126845384692,10.68104213073984,356.9777948748038,0,0,,227.49197,0
1989-05-22,1989-05-22,106.93497943248084,59.5,-136.0,12.830613332154693,98.09444556216548,12.451715365860572,231.22352531283641,0,0,,85.2421,0
1989-05-23,1989-05-23,117.81489865416154,59.5,-136.0,-19.999280274495533,105.16688920458613,12.536719207090949,157.5491170419784,0,0,,190.62479,0
1989-05-24,1989-05-24,74.66953219450897,59.5,-136.0,-24.770653098021704,69.17320281012405,8.727394525513063,157.87909059650806,0,0,,236.15115,0
1989-05-25,1989-05-25,45.14493006350961,59.5,-136.0,-20.64021095228263,37.410353237467206,7.988293329730361,145.9625921774499,0,0,,234.81705,0
1989-05-26,1989-05-26,72.27602722569337,59.5,-136.0,4.142441922151811,-3.31934452468721,11.48209527860569,359.70049120831004,0,0,,205.36168,0
1989-05-27,1989-05-27,61.83600424347335,59.5,-136.0,61.8262029229906,14.361764581364326,11.32073205457516,353.38003605261525,0,0,,171.03621,0
1989-05-28,1989-05-28,186.66359285451227,59.5,-136.0,186.0243253741793,38.10496823806207,19.756282739385487,278.548773480808,1,0,,107.79135,0
1989-05-29,1989-05-29,184.53612432616453,59.5,-136.0,181.60902514942376,77.00340827137546,19.776453142389304,259.78140020664944,1,0,,95.64747,0
1989-05-30,1989-05-30,183.4806281050389,59.5,-136.0,88.24678975176985,182.64803518003333,18.789544138274003,240.75609360384942,1,0,3.2089844,49.69326,0
1989-05-31,1989-05-31,154.156538916437,59.5,-136.0,44.16500202396836,152.9690306091611,16.3157882841631,213.91692267221873,1,0,3.350586,52.197556,0
1989-06-01,1989-06-01,75.37197727847008,59.5,-136.0,69.55380826888981,60.17098198095924,10.578749372649057,255.85689288049613,0,0,,108.420876,0
1989-06-02,1989-06-02,95.67871759468612,59.5,-136.0,70.42192620273374,66.52702752915872,14.056703147735677,265.8289025932966,0,0,,146.20897,0
1989-06-03,1989-06-03,303.1634144288358,59.5,-136.0,187.5389274594956,258.24309906438475,22.54412058312724,224.6979695506764,1,0,,90.77397,0
1989-06-04,1989-06-04,259.67590032639885,59.5,-136.0,148.07902137568098,242.57470771300933,21.24168884630939,219.3775406825129,1,0,,49.65648,0
1989-06-05,1989-06-05,73.59463524764126,59.5,-136.0,49.66601560264724,64.53152485704958,13.840591686980495,314.09967066877016,0,0,,113.4975,0
1989-06-06,1989-06-06,42.6411428905202,59.5,-136.0,42.563232507560606,4.592537187401035,10.482219586845083,309.0614048793607,0,0,,127.207596,0
1989-06-07,1989-06-07,31.91234522078261,59.5,-136.0,31.67229842842776,16.935090751927916,10.804946034906145,334.4924938117099,0,0,,142.14476,0
1989-06-08,1989-06-08,21.387663276386125,59.5,-136.0,12.258024635190957,17.52635080292322,9.747440620277487,353.36519520522614,0,0,,188.12119,0
1989-06-09,1989-06-09,156.02108566750292,59.5,-136.0,41.45835513721379,150.41204726411692,14.758345023654144,218.97638216768297,1,0,,118.564575,0
1989-06-10,1989-06-10,204.013346226356,59.5,-136.0,57.00555813423677,203.994989385566,16.788352011681084,217.57884395543792,1,0,,315.42084,0
1989-06-11,1989-06-11,209.4028943623533,59.5,-136.0,16.20401524357242,208.5033472744052,16.220699241430825,192.80289177890995,1,0,,319.55807,0
1989-06-12,1989-06-12,253.7695864982653,59.5,-136.0,-27.122961636456058,237.62290478592368,17.357445525003044,169.59980865233797,1,0,,309.23615,0
1989-06-13,1989-06-13,234.29993475811747,59.5,-136.0,-39.513372146773854,212.56826012499783,18.45385100256763,165.47892526657063,1,0,,287.08264,0
1989-06-14,1989-06-14,167.89402643581553,59.5,-136.0,-24.281848398421403,116.78413186375924,19.49983047262268,161.2384686358514,1,0,6.1152344,12.780449,0
1989-06-15,1989-06-15,121.3996785329624,59.5,-136.0,-10.313041644751015,113.38438657053624,11.054194586310444,171.83161609525496,1,0,3.6767578,340.2975,0
1989-06-16,1989-06-16,65.9993649967797,59.5,-136.0,17.072133177416347,65.71404495904018,10.17390056950103,229.80946884057386,0,0,,237.4864,0
1989-06-17,1989-06-17,31.09476356178568,59.5,-136.0,16.756453928745827,10.726860216477276,10.096100443629169,278.75058779008737,0,0,,186.41306,0
1989-06-18,1989-06-18,29.92384119166532,59.5,-136.0,2.3930481142372955,15.97429316906056,12.588585957672189,198.25925445029966,0,0,,143.20343,0
1989-06-19,1989-06-19,26.33971737458944,59.5,-136.0,23.85923702383247,11.318120267472564,11.966184950697285,353.8539651712896,0,0,,131.50186,0
1989-06-20,1989-06-20,54.25924303495339,59.5,-136.0,34.82909091513293,53.14976887539005,12.624604534464716,264.7142259635207,0,0,,129.11595,0
1989-06-21,1989-06-21,62.14793986180018,59.5,-136.0,16.04617561923716,57.14077421960833,14.716563474574803,205.94966784983956,1,0,,141.01562,0
1989-06-22,1989-06-22,181.5080746989364,59.5,-136.0,145.948186447155,117.7449294466266,21.235925874022584,265.70871481207234,1,0,,135.59425,0
1989-06-23,1989-06-23,172.52350901010882,59.5,-136.0,167.96681404192356,107.25006354146,22.14359400919432,281.9581502391967,1,0,,133.56364,0
1989-06-24,1989-06-24,184.7544268882335,59.5,-136.0,176.01663488302174,118.85354204224278,22.50089829097621,267.90455503349233,1,0,,117.18968,0
1989-06-25,1989-06-25,77.89018026233053,59.5,-136.0,71.76356300958344,35.485874851905464,12.201026071384575,354.21814862566976,0,0,,123.53033,0
1989-06-26,1989-06-26,156.3552964598648,59.5,-136.0,-7.314088782381106,21.59126365351591,18.4149509396317,101.07518503524345,0,0,,196.21588,0
1989-06-27,1989-06-27,107.09996856962148,59.5,-136.0,-29.01703712847916,67.41391760565168,18.35588047369196,138.3134098852286,0,0,,264.01257,0
1989-06-28,1989-06-28,58.45636212988753,59.5,-136.0,1.6038499925610026,0.4537168304339332,16.72207783038283,327.3450940637415,0,0,,230.90602,0
1989-06-29,1989-06-29,27.565518934267352,59.5,-136.0,25.200873830682163,25.73008401048301,15.886446848796156,356.70970282983086,0,0,,115.93083,0
1989-06-30,1989-06-30,39.71132237803889,59.5,-136.0,17.466732238254494,19.891391006904428,16.043487843611583,233.59880154904184,0,0,,170.71864,0
1989-07-01,1989-07-01,36.74842457591936,59.5,-136.0,23.71423357912232,-0.6156334985212766,18.79530711056081,359.31246979944945,0,0,,205.44106,0
1989-07-02,1989-07-02,65.50387218265513,59.5,-136.0,56.652678363441424,50.01787002975834,21.18117763729794,310.5879303068705,0,0,,81.249054,0
1989-07-03,1989-07-03,47.61718127966878,59.5,-136.0,18.736131092827264,34.96019414389741,17.294052829848194,208.18808349621105,0,0,,231.31042,0
