,Hoonah,time,Skagway,Klukwan,Yakutat,Craig,Kasaan
81,355.52527,1980-03-22,260.46228,224.10358,26.845886,226.85806,196.9675
82,183.04652,1980-03-23,281.1336,330.60077,69.21304,291.85846,290.2621
83,80.43677,1980-03-24,336.2704,75.47023,54.386425,123.89678,111.07076
84,88.850395,1980-03-25,320.21185,8.274361,77.81987,139.32068,120.80427
85,91.12394,1980-03-26,290.85086,19.693535,92.65008,198.857,135.31802
86,96.47716,1980-03-27,329.56436,31.735847,69.53849,152.68054,138.10114
87,131.18906,1980-03-28,331.03006,15.887901,67.74803,205.82942,178.25839
88,184.67195,1980-03-29,277.76895,42.434895,106.255684,295.3332,297.3698
89,100.616684,1980-03-30,272.7724,42.29159,85.48875,150.53282,133.23906
90,197.14978,1980-03-31,227.63065,84.42898,141.68939,292.29413,294.5589
91,106.68708,1980-04-01,315.3405,95.47042,94.226776,126.60913,1.6576385
92,97.27019,1980-04-02,308.21106,29.328754,118.63774,133.95398,124.51244
93,79.1521,1980-04-03,328.72424,53.943737,71.69929,123.174576,118.2737
94,75.85667,1980-04-04,321.6447,13.724152,58.944714,116.742516,106.89316
95,62.359543,1980-04-05,346.52417,267.63995,52.18273,109.3139,104.342834
96,68.83512,1980-04-06,312.69177,66.26813,46.006367,116.832306,117.46153
97,88.4821,1980-04-07,186.19873,75.9153,104.45321,161.39458,138.26262
98,72.39475,1980-04-08,327.876,34.687893,75.21731,107.92586,92.44663
99,54.676968,1980-04-09,290.3166,266.81,30.961735,83.19384,75.75619
100,80.639244,1980-04-10,330.1728,191.15894,76.15297,93.0954,80.903366
101,90.22208,1980-04-11,299.19238,7.7344055,67.38314,142.66588,134.90378
102,108.29178,1980-04-12,305.4862,18.752182,135.77719,157.53714,136.50974
103,150.6518,1980-04-13,113.053085,43.482235,119.110596,178.19934,180.30203
104,40.200096,1980-04-14,337.12402,306.10745,80.86775,17.067276,41.74737
105,132.70082,1980-04-15,166.80106,52.432,84.777916,160.45497,147.28552
106,79.10216,1980-04-16,327.45908,345.4712,85.37966,156.26794,141.49507
107,98.22667,1980-04-17,303.5094,23.243591,84.016396,166.62726,144.7547
108,89.59203,1980-04-18,314.93506,251.12086,61.44606,140.18011,129.69633
109,92.26334,1980-04-19,299.6087,0.4094925,104.736755,156.73108,133.89948
110,86.9412,1980-04-20,230.43379,18.342903,80.344536,158.83463,133.98645
111,108.43415,1980-04-21,307.98248,14.276573,105.73611,160.96426,144.78233
112,103.93838,1980-04-22,302.81006,16.546623,117.25661,151.78,131.30655
113,95.563095,1980-04-23,183.46338,42.95608,123.85471,131.5739,120.33477
114,70.581085,1980-04-24,299.63092,263.57877,58.47776,131.78249,123.197556
115,87.19825,1980-04-25,337.63904,281.07654,52.265175,129.17336,123.06487
116,83.906845,1980-04-26,263.22968,342.1044,77.85915,135.88033,123.66092
117,91.32708,1980-04-27,303.62558,335.13065,79.81844,149.43683,136.29549
118,93.062935,1980-04-28,207.7604,9.3942795,99.64801,153.03957,130.25964
119,90.12983,1980-04-29,210.66113,33.64673,108.077065,157.16965,140.02473
120,104.2948,1980-04-30,293.22577,358.15872,96.19352,161.77327,140.95844
121,102.43729,1980-05-01,327.91077,6.864456,98.81128,156.46713,133.18211
122,168.71252,1980-05-02,207.76093,30.52584,148.87343,219.86772,209.6435
123,215.13866,1980-05-03,175.71667,101.27612,116.4209,264.13696,263.71884
124,37.856926,1980-05-04,284.13275,274.69403,26.711891,42.706238,18.190742
125,64.46575,1980-05-05,302.0728,262.70093,60.82248,107.689095,102.862404
126,327.94107,1980-05-06,199.90518,189.46689,131.6616,170.68289,139.33148
127,86.984886,1980-05-07,131.26222,65.902115,94.10761,138.0056,127.74693
128,84.10822,1980-05-08,232.0505,243.3186,125.360245,140.34239,128.42987
129,21.51088,1980-05-09,282.36102,255.76581,319.7858,81.03663,21.700844
130,247.70436,1980-05-10,202.94281,217.06073,294.0441,315.18243,316.65143
131,235.8454,1980-05-11,212.21985,210.69395,275.2509,309.86838,310.46643
132,257.2256,1980-05-12,284.64877,255.86894,288.04147,188.31396,147.6058
133,198.20193,1980-05-13,216.18326,119.67589,239.23788,168.28354,156.72083
134,84.344,1980-05-14,194.12305,146.5574,146.18991,143.8483,124.588524
135,35.499863,1980-05-15,190.71384,150.98538,127.09271,311.8199,319.72748
136,71.90934,1980-05-16,230.24722,144.1142,122.749825,139.61375,130.71779
137,143.91406,1980-05-17,186.14899,54.09238,139.02844,172.60262,149.9924
138,109.953125,1980-05-18,250.79564,22.255913,110.32513,153.50131,136.03482
139,90.88453,1980-05-19,249.33302,269.85358,95.14253,153.34778,133.54527
140,101.79654,1980-05-20,194.28802,114.42728,106.63886,169.47765,133.7788
141,57.004753,1980-05-21,194.24768,146.758,140.75961,154.36205,127.498795
142,298.19058,1980-05-22,205.46826,212.47092,217.03766,317.47983,313.82364
143,279.46408,1980-05-23,239.49852,251.22577,253.72075,311.4228,311.91754
144,265.2256,1980-05-24,245.336,222.54767,277.0641,304.28735,305.0749
145,244.5152,1980-05-25,260.90582,213.25284,262.867,295.02655,292.44647
146,264.92743,1980-05-26,288.18774,211.20099,276.65436,306.99664,307.961
147,296.3744,1980-05-27,256.44214,246.79279,277.00482,310.09082,313.33246
148,232.37193,1980-05-28,190.54672,148.57013,224.21759,296.36713,294.0755
149,226.09117,1980-05-29,168.73279,140.90602,239.16199,297.32404,296.07892
150,127.35225,1980-05-30,209.00154,119.78323,126.66582,250.19206,279.20795
151,217.60315,1980-05-31,125.87831,93.9792,203.64464,271.9646,269.5504
152,243.35313,1980-06-01,173.39418,213.20364,251.23015,297.77032,295.32904
153,277.70963,1980-06-02,288.98456,249.28047,319.46527,314.472,308.76068
154,348.33585,1980-06-03,313.41095,265.55682,305.45312,328.0082,335.351
155,318.34167,1980-06-04,291.9992,266.30762,307.37805,330.025,336.74463
156,0.6523514,1980-06-05,325.16843,232.51132,311.5368,316.6402,339.75473
157,301.13733,1980-06-06,200.8307,139.50827,208.81906,223.1081,340.50922
158,281.4654,1980-06-07,187.86424,129.04825,165.72495,306.82886,306.52338
159,244.91019,1980-06-08,191.2542,135.5361,252.5452,288.71375,256.49966
160,220.68108,1980-06-09,200.5665,158.6055,251.14755,304.8704,295.0479
161,226.47353,1980-06-10,208.84808,158.67299,274.57565,304.36743,292.62073
162,214.57164,1980-06-11,195.14412,166.95389,244.16876,300.12943,288.39703
163,194.10614,1980-06-12,182.81262,89.27144,136.7666,266.04706,222.43031
164,117.279045,1980-06-13,66.863174,13.932785,113.972145,177.20801,158.46042
165,98.17805,1980-06-14,159.04285,347.1347,93.30186,151.37314,130.4895
166,92.33825,1980-06-15,197.857,132.6579,111.221085,163.04596,139.00449
167,11.698883,1980-06-16,210.88983,163.84012,137.9574,273.48596,275.48584
168,119.54782,1980-06-17,187.47757,128.9591,182.65228,173.1427,197.82939
169,85.04451,1980-06-18,204.63739,156.57658,109.2178,168.65503,202.29141
170,38.397396,1980-06-19,198.32005,184.95514,131.77377,280.01807,287.00705
171,238.1929,1980-06-20,190.03387,159.01222,258.50977,307.38507,303.08154
172,207.67825,1980-06-21,179.2591,108.29004,154.51956,291.85202,291.90607
173,91.34347,1980-06-22,235.16858,307.26096,83.57796,158.06808,137.35072
174,72.47592,1980-06-23,236.04715,222.32025,110.66616,131.23384,119.24828
175,330.69684,1980-06-24,215.16252,236.94745,303.2162,313.25427,307.9438
176,268.5388,1980-06-25,225.83722,246.32913,298.1747,304.84668,309.9171
177,240.2486,1980-06-26,199.74026,161.72531,149.04306,277.0926,281.9129
178,235.24043,1980-06-27,199.98932,152.46143,206.97116,257.21475,214.09012
179,208.80669,1980-06-28,202.94785,139.97266,229.59373,315.83765,314.7497
180,219.296,1980-06-29,202.69888,144.01547,220.56439,303.96014,305.90894
181,238.96094,1980-06-30,195.20389,141.67844,139.7781,297.05377,298.09875
182,83.82772,1980-07-01,216.39522,194.91547,107.93662,201.90018,164.24823
183,56.554996,1980-07-02,203.61472,142.2887,217.62459,131.341,118.06341
184,316.2613,1980-07-03,196.91599,165.04156,179.70247,315.89355,309.16077
185,238.14145,1980-07-04,201.99985,234.87744,267.40912,305.34863,303.59775
186,223.07983,1980-07-05,211.80408,224.64944,282.69955,292.87912,287.74765
187,214.51062,1980-07-06,194.55507,136.17804,159.24191,251.28578,248.6708
188,99.203766,1980-07-07,194.7521,136.98271,115.20444,151.20306,140.05652
189,90.298805,1980-07-08,194.00574,150.05295,106.71605,159.01567,130.75845
190,267.5217,1980-07-09,184.69592,173.1371,178.41702,230.57797,129.43936
191,237.26602,1980-07-10,180.28232,179.28041,248.82845,305.114,287.2282
192,213.33667,1980-07-11,192.02895,143.93568,238.81668,308.16406,308.328
193,209.89917,1980-07-12,174.37737,124.96865,161.86884,298.13416,299.52866
194,103.8643,1980-07-13,180.20581,124.01215,116.14668,189.31259,179.75372
195,152.06451,1980-07-14,195.82242,173.89456,237.32307,220.29482,166.88728
196,216.6628,1980-07-15,178.99835,126.86835,225.10187,271.9352,260.4062
197,218.16429,1980-07-16,190.41827,126.61871,199.58688,283.19336,284.87512
198,84.84602,1980-07-17,193.75519,141.20355,124.84203,176.50198,168.80927
199,82.68451,1980-07-18,210.92215,152.90668,56.461876,118.42456,116.489655
200,76.503136,1980-07-19,214.436,208.09671,40.174488,148.36964,128.87662
201,84.76059,1980-07-20,203.18066,135.85872,205.10995,164.85326,139.14871
202,80.55951,1980-07-21,210.86441,140.03392,162.69786,133.1865,119.5037
203,39.37493,1980-07-22,236.07718,224.44228,235.36781,162.82043,129.52234
204,166.19095,1980-07-23,172.6819,95.87963,164.49246,187.06009,171.84068
205,82.17383,1980-07-24,165.10918,116.188286,115.73454,124.97992,118.605
206,91.08762,1980-07-25,209.69453,140.61269,243.79742,138.76846,124.18654
207,147.71109,1980-07-26,140.13754,99.474075,176.76797,164.9808,143.12096
208,211.57314,1980-07-27,122.49211,102.85525,156.10907,99.23136,110.25008
209,205.45253,1980-07-28,120.48166,63.469963,149.55363,235.58176,233.92007
210,140.54373,1980-07-29,114.69525,34.91152,109.8299,189.73575,164.9581
211,111.14539,1980-07-30,354.94916,25.256226,114.052444,161.05273,140.74179
212,117.949776,1980-07-31,337.8676,19.427025,116.15684,162.61966,132.79695
213,159.15805,1980-08-01,308.8415,2.7675629,108.27344,192.11937,152.12065
214,202.19159,1980-08-02,250.80447,122.60713,75.99367,226.88544,210.5275
215,195.01381,1980-08-03,286.1286,66.11891,169.14783,213.0928,216.62402
216,318.1432,1980-08-04,242.64494,126.70337,285.15118,286.0772,290.7776
217,334.07947,1980-08-05,288.78857,207.83089,293.34705,304.33844,324.30606
218,340.1232,1980-08-06,314.7834,252.92126,300.61728,309.97214,330.73615
219,338.0842,1980-08-07,161.4401,100.20072,237.62683,305.80618,61.71958
220,213.65424,1980-08-08,261.93585,95.61668,167.56985,296.34845,296.03772
221,206.23409,1980-08-09,327.39767,103.07466,164.12323,303.6839,314.70282
222,323.45288,1980-08-10,286.3471,151.53685,288.9388,317.34732,330.17584
223,341.52185,1980-08-11,310.7798,230.64206,290.0866,312.29645,347.63422
224,24.165634,1980-08-12,236.92528,168.06558,275.51147,293.30078,104.13677
225,212.08737,1980-08-13,226.62129,20.628006,236.15608,235.47737,238.34624
226,209.48141,1980-08-14,327.02618,19.43959,238.23267,76.392265,55.02455
227,179.07066,1980-08-15,228.46469,122.86321,237.69035,94.95406,79.75821
228,105.327774,1980-08-16,311.5372,164.3147,110.42378,167.87544,134.51263
229,197.98026,1980-08-17,261.00183,46.69857,252.11229,276.16046,285.64294
230,217.54977,1980-08-18,277.96298,84.298935,221.04018,295.6106,296.37103
231,216.00046,1980-08-19,6.1610794,88.198784,237.29936,280.0454,280.0327
232,219.55609,1980-08-20,283.43378,113.70877,169.2367,280.25842,287.26315
233,233.84084,1980-08-21,236.47278,121.123245,242.34491,303.74695,306.62845
234,26.54815,1980-08-22,258.7815,149.44589,12.752899,52.718292,293.6732
235,299.4392,1980-08-23,249.91322,95.576515,309.1446,292.91162,284.44955
236,345.71973,1980-08-24,309.133,180.85794,189.2609,276.24213,267.68695
