time,time,IVT,lat,lon,uIVT,vIVT,IWV,ivtdir,AR,impact,prec,UVdir,extreme
2013-08-20,2013-08-20,89.31883212593854,59.5,-135.25,73.78673159091841,54.956510687631855,14.96121218145542,286.2862409116883,0,0,,319.9339,0
2013-08-21,2013-08-21,109.77427125691293,59.5,-135.25,90.019186607618,74.92000194632976,12.834519324915648,242.2495560539263,0,0,,326.67267,0
2013-08-22,2013-08-22,102.93682078405514,59.5,-135.25,98.4227142047589,40.4976585627661,15.53984814886985,261.8509264660971,1,0,,265.61517,0
2013-08-23,2013-08-23,156.9685899475997,59.5,-135.25,127.72732326145558,92.828427928397,18.426172109550844,267.1471006494179,0,0,,292.89984,0
2013-08-24,2013-08-24,196.8973671245621,59.5,-135.25,123.63329699618174,168.2786816561229,18.275342828945185,232.19675647751438,0,0,14.421875,327.19983,0
2013-08-25,2013-08-25,141.34504332529514,59.5,-135.25,37.15597027004759,138.18665439117387,18.0490989080367,197.9384659052795,1,0,7.6796875,314.79822,0
2013-08-26,2013-08-26,180.05620703064085,59.5,-135.25,29.18339280609337,177.37968502405874,18.557804936261235,193.87453618383967,1,0,,310.19238,0
2013-08-27,2013-08-27,103.04881169857568,59.5,-135.25,25.951266807193008,99.72757564279996,18.45496679039374,357.04638256989176,1,0,,313.25714,0
2013-08-28,2013-08-28,59.79998351001439,59.5,-135.25,39.16707089158564,47.69038703097343,16.73277064093278,327.2205426855924,0,0,,247.07205,0
2013-08-29,2013-08-29,71.4140237510875,59.5,-135.25,34.28296938213617,71.39703290067719,15.00371861508065,217.3172309458667,0,0,,274.11017,0
2013-08-30,2013-08-30,75.84039003472347,59.5,-135.25,28.824267695104425,70.14931469700858,18.04635655748024,202.33770067980993,1,1,,257.4943,0
2013-08-31,2013-08-31,168.14888983399698,59.5,-135.25,124.9261473957419,115.50754115978545,19.87687555392162,232.12718572724182,0,0,4.7460938,264.57346,0
2013-09-01,2013-09-01,199.90314387526888,59.5,-135.25,151.39286415843208,135.30936462608176,20.695467195026872,254.10907981095323,0,0,14.457031,333.1988,0
2013-09-02,2013-09-02,120.4821918777019,59.5,-135.25,117.9030884323666,28.45349912940452,18.34527276813508,291.8376487855422,1,0,,276.8579,0
2013-09-03,2013-09-03,314.7190512814517,59.5,-135.25,178.9337981436833,258.90302648167835,20.19224586791527,256.4221464428463,1,0,,315.46387,0
2013-09-04,2013-09-04,462.754447072699,59.5,-135.25,302.3171823976088,354.4525659610724,24.451116282107744,221.9783551492128,1,0,7.6132812,339.98135,0
2013-09-05,2013-09-05,259.9773574060299,59.5,-135.25,143.79156637850275,224.87320209632577,16.97409748990183,243.9126957757316,1,0,,334.1189,0
2013-09-06,2013-09-06,322.3944236305027,59.5,-135.25,231.15140897971963,288.0556121929088,23.890305593310345,238.806235463866,1,0,,323.0379,0
2013-09-07,2013-09-07,528.4906525427258,59.5,-135.25,268.6070791996613,469.4002138034524,26.464001590554155,212.81964845971578,1,0,31.953125,338.1048,1
2013-09-08,2013-09-08,549.6651665764638,59.5,-135.25,154.36728502883926,549.652959259463,25.803095106445728,238.06911599895176,1,1,33.453125,326.1586,1
2013-09-09,2013-09-09,137.39420416439205,59.5,-135.25,118.34374337613065,69.79918152594041,15.384905342429494,258.8879687920296,1,1,,325.45468,0
2013-09-10,2013-09-10,193.5385713205232,59.5,-135.25,110.41195438837826,159.0304799956761,19.41616066043525,251.15740371335,1,0,,306.8379,0
2013-09-11,2013-09-11,435.2311695672806,59.5,-135.25,209.88980794310567,381.2773786687444,23.691485177966523,220.9423003518403,1,1,12.707031,321.4127,0
2013-09-12,2013-09-12,411.8665173818263,59.5,-135.25,197.4413057817721,366.86735531338337,21.72933335481474,254.91614752216344,0,0,28.90625,323.8688,0
