time,time,IVT,lat,lon,uIVT,vIVT,IWV,ivtdir,AR,impact,prec,UVdir,extreme
2017-01-30,2017-01-30,51.53187950097181,59.5,-139.75,48.76861268174884,0.5130944024921007,7.036445634103828,300.1349124370456,0,0,,54.223396,0
2017-01-31,2017-01-31,69.50537052903714,59.5,-139.75,68.59999307883886,1.4250984251851264,9.454098647205017,290.1069895844001,0,0,,83.65683,0
2017-02-01,2017-02-01,51.528172236277776,59.5,-139.75,51.52512802471658,5.435221675798118,8.436646724265508,287.27804278457995,0,0,,329.88403,0
2017-02-02,2017-02-02,36.88406288375601,59.5,-139.75,19.674761569016283,-0.4253771939685862,7.12456055029886,342.86220078124956,0,0,,35.59123,0
2017-02-03,2017-02-03,94.34815464632857,59.5,-139.75,-19.147144325485343,-34.91533835857268,7.083256683332436,28.73982467438872,1,0,,359.1929,0
2017-02-04,2017-02-04,94.5876129760492,59.5,-139.75,-8.211396186189106,-37.54250336915777,7.190646737445128,33.95802983002633,0,0,,285.8555,0
2017-02-05,2017-02-05,42.74505451287612,59.5,-139.75,-3.632051652858806,-19.55652752745993,6.575219119645453,21.215488300711584,0,0,,133.14392,0
2017-02-06,2017-02-06,44.11328506811917,59.5,-139.75,-2.948567394152789,-20.16279637605652,6.944200331212151,49.63991601472328,0,0,,14.680794,0
2017-02-07,2017-02-07,36.373891004408975,59.5,-139.75,-0.4196756369405392,-9.990952360714289,6.572465528514357,39.653219405924794,0,0,,317.06525,0
2017-02-08,2017-02-08,11.81710128344698,59.5,-139.75,8.602316577978854,11.430546956364026,6.813404752485148,355.39915575405064,0,0,,89.96307,0
2017-02-09,2017-02-09,43.22891228094161,59.5,-139.75,12.839918981956146,42.88916387798537,8.373314128250328,249.82356482404663,0,0,,97.16228,0
2017-02-10,2017-02-10,113.4024467347394,59.5,-139.75,-7.186169798130081,97.58808666247468,8.862076554019644,173.4888640626426,0,0,22.046875,95.77232,0
2017-02-11,2017-02-11,273.24901369404944,59.5,-139.75,96.22499854408991,261.88694463214136,14.045711858305513,231.12257237584777,1,0,30.773438,174.80818,0
2017-02-12,2017-02-12,280.0644881465407,59.5,-139.75,135.73038869729754,257.1041570487685,14.139333956762734,242.77042605531665,1,0,4.546875,251.42078,0
2017-02-13,2017-02-13,612.1877919112347,59.5,-139.75,133.33819379182648,597.4904339330351,22.33402116290071,192.5802033015417,1,0,59.304688,114.70715,1
2017-02-14,2017-02-14,575.1262673402114,59.5,-139.75,-0.6930693404229515,575.1258497403621,21.8686642617457,179.93095436605435,1,0,76.21094,106.24725,1
2017-02-15,2017-02-15,250.04885756109417,59.5,-139.75,99.0272840047846,215.8105121388032,14.798819032659928,256.1028311762303,1,0,17.28125,87.80435,0
2017-02-16,2017-02-16,42.85545166254696,59.5,-139.75,40.04259247845552,26.78935778747683,7.197530715272869,276.3156067095572,1,0,,51.372417,0
2017-02-17,2017-02-17,54.68947104728081,59.5,-139.75,16.87247610832162,54.20618238512105,9.44033069154954,260.7736998470273,0,0,,85.30599,0
2017-02-18,2017-02-18,55.84815313725196,59.5,-139.75,-7.254518224000691,51.98319660693369,9.507793674261364,172.05539414380874,0,0,6.78125,91.1836,0
2017-02-19,2017-02-19,15.963012178762067,59.5,-139.75,2.861048804848324,6.041490524394646,7.2594865157225,359.7082518881029,0,0,,61.37751,0
2017-02-20,2017-02-20,28.25981046061273,59.5,-139.75,25.82611989737042,-6.285976063735348,6.719782654027931,332.8222202627996,0,0,,53.34764,0
2017-02-21,2017-02-21,32.648388915168546,59.5,-139.75,32.04582665159516,9.20756117817666,6.364569398116707,311.0505204497276,0,0,,328.40326,0
2017-02-22,2017-02-22,63.95301108038692,59.5,-139.75,63.07601199684821,24.364282393090605,8.798743958004465,322.271741856264,0,0,,0.38357544,0
2017-02-23,2017-02-23,121.55137589109248,59.5,-139.75,64.92141949535444,17.830051469327714,9.23381135671744,331.64960489590123,1,0,,36.199966,0
2017-02-24,2017-02-24,144.588376506148,59.5,-139.75,111.26165223562224,-20.432249197654983,11.359583709922582,324.99564652703395,1,0,,295.23563,0
2017-02-25,2017-02-25,189.99403429606124,59.5,-139.75,189.1105093022373,28.20398510086875,13.137026785044242,358.144350475388,0,0,2.6171875,9.536392,0
2017-02-26,2017-02-26,116.10215136467556,59.5,-139.75,99.30067770826696,-20.499612403054584,10.496332890324382,346.57052671018306,0,0,,11.166588,0
2017-02-27,2017-02-27,19.70595062153945,59.5,-139.75,12.019737871508925,7.792933864784686,5.798706420676737,346.38681046904844,0,0,,83.19699,0
