time,time,IVT,lat,lon,uIVT,vIVT,IWV,ivtdir,AR,impact,prec,UVdir,extreme
1980-01-01,1980-01-01,164.75398019426032,55.5,-132.5,0.8029697198119621,164.31715017982353,13.536557660054342,180.96154205124594,0,0,3.185608,100.15622,0
1980-01-02,1980-01-02,239.0421780900719,55.5,-132.5,-23.857215797408365,204.6679451305783,13.859692757370516,171.6625992957175,0,0,5.9815063,99.80912,0
1980-01-03,1980-01-03,80.20541095517092,55.5,-132.5,56.05719789433376,62.16860413852205,9.500806551020432,272.8936099329545,0,0,,42.63434,0
1980-01-04,1980-01-04,53.695645890014674,55.5,-132.5,52.35817006675072,-4.461069876799911,6.085199820240113,339.17401499186906,0,0,,334.23474,0
1980-01-05,1980-01-05,213.93542186004632,55.5,-132.5,147.5310735472729,-33.62214858070672,9.20517231305032,347.98230031049195,1,0,,355.3353,0
1980-01-06,1980-01-06,232.9779487955354,55.5,-132.5,185.4461087799992,-47.01589984587324,10.910225592505869,316.2637395775306,0,0,,117.75978,0
1980-01-07,1980-01-07,88.15973591564126,55.5,-132.5,74.08995855380113,-31.502884140015823,9.971071245838012,356.91720497322683,0,0,,28.28875,0
1980-01-08,1980-01-08,34.53370663467117,55.5,-132.5,-9.215230646558796,-7.343269516139543,6.103075378815049,61.2348733061344,0,0,,21.526154,0
1980-01-09,1980-01-09,37.8063016419645,55.5,-132.5,5.272628344808148,-11.58179839752134,2.1415765900154966,359.6989588838097,0,0,,346.1388,0
1980-01-10,1980-01-10,15.909014118374728,55.5,-132.5,5.041439105584207,3.761676153080785,2.2364545547593906,349.25051031972805,0,0,,21.526886,0
1980-01-11,1980-01-11,34.18449557182252,55.5,-132.5,4.733186786618955,33.8552312108916,3.819129010124989,187.9587454657934,0,0,,18.37716,0
1980-01-12,1980-01-12,98.2106234314126,55.5,-132.5,29.624561543063223,91.83830630819467,6.427585519098528,260.68316688482304,0,0,6.7923584,344.6708,0
1980-01-13,1980-01-13,85.76358866747216,55.5,-132.5,46.42431292666957,75.56235540368854,5.491181258365273,244.02547963011384,0,0,,133.20444,0
1980-01-14,1980-01-14,101.44826857373212,55.5,-132.5,44.883051331843305,97.34839385399104,7.460242787542981,212.17756137989923,0,0,,144.43524,0
1980-01-15,1980-01-15,105.21224688632864,55.5,-132.5,44.18948361417148,99.213346561799,6.697093940689889,213.40642216077322,0,0,,155.83475,0
1980-01-16,1980-01-16,79.5009410253733,55.5,-132.5,47.7343852822719,64.20309800158532,5.080043411141716,239.1496727965,0,0,,194.82443,0
1980-01-17,1980-01-17,44.98509771237784,55.5,-132.5,38.0244372348664,19.35946243656582,4.688156165460399,323.70509458251547,0,0,,274.5657,0
1980-01-18,1980-01-18,52.359572583938665,55.5,-132.5,24.76958751936048,50.21595269302536,6.081074691338202,256.0391001481114,1,0,,117.318756,0
1980-01-19,1980-01-19,254.7374134789599,55.5,-132.5,30.780507739182926,254.59781535325595,12.578152711844249,188.6587425949711,1,0,4.041565,120.35121,0
1980-01-20,1980-01-20,203.0452132448487,55.5,-132.5,56.51957637278164,199.49693989529248,13.117169555026967,213.7799775221202,0,0,,122.03859,0
1980-01-21,1980-01-21,299.45079019641184,55.5,-132.5,87.49893442878968,298.848056874882,20.469524301195392,200.04901438094342,1,0,,113.8071,0
1980-01-22,1980-01-22,479.0344278299801,55.5,-132.5,278.1529937087994,419.2222771061252,22.69984399416064,216.51837371837217,1,0,7.1083374,125.993805,0
1980-01-23,1980-01-23,413.71179504395553,55.5,-132.5,275.07047051914685,309.0205261901983,20.613903812762192,296.86987621321333,1,0,,256.80933,0
1980-01-24,1980-01-24,84.69195497593414,55.5,-132.5,66.76896597837634,-32.943983959685625,5.771690023695058,343.653555738682,0,0,,329.3041,0
1980-01-25,1980-01-25,47.54961045070248,55.5,-132.5,16.600901066781237,-18.10913287484931,3.4808684401684857,358.9211438551014,0,0,,16.996826,0
1980-01-26,1980-01-26,31.86026121013648,55.5,-132.5,-6.826275174578077,-9.80161626734099,2.4935875896450312,63.831469955620165,0,0,,22.106773,0
1980-01-27,1980-01-27,41.482819657484974,55.5,-132.5,-4.05200430389079,-14.20968630397806,3.263611651334635,34.46883804315717,0,0,,11.213287,0
1980-01-28,1980-01-28,45.16584969075026,55.5,-132.5,44.03535745468885,-2.850428901874821,5.895443890752318,359.256441682057,0,0,,96.848076,0
1980-01-29,1980-01-29,56.91899281954217,55.5,-132.5,39.719824989175294,56.6585165927257,7.44649235786995,276.8743834762155,0,0,4.739807,121.37154,0
1980-01-30,1980-01-30,205.21461090996908,55.5,-132.5,25.07783983832573,201.3618926031005,10.76584608093907,196.19827024092143,0,0,2.840332,109.62662,0
1980-01-31,1980-01-31,235.42267060845225,55.5,-132.5,-18.46280021551642,229.16664206496512,13.41142875002978,175.11888962074306,1,0,39.71704,124.07921,1
1980-02-01,1980-02-01,244.14978377106823,55.5,-132.5,43.65750882576573,243.02279855366288,15.189359306752388,191.36168646045138,1,0,26.130371,117.83006,0
1980-02-02,1980-02-02,436.8725235672111,55.5,-132.5,-10.037666215905787,366.935875721428,15.969008669213114,176.68826865152582,1,0,16.202087,110.99014,0
1980-02-03,1980-02-03,393.882664082735,55.5,-132.5,150.24524044809723,350.9881503820117,13.568183648302307,212.6575867522328,1,0,3.37854,136.88332,0
1980-02-04,1980-02-04,129.22303400460137,55.5,-132.5,68.45841927102208,128.99281877933873,11.027104244726615,242.96334285312992,0,0,,144.87971,0
1980-02-05,1980-02-05,324.0890614292361,55.5,-132.5,-29.38077112628372,304.04343776316654,14.526588596512408,167.6360963090025,1,0,6.8566284,108.543304,0
1980-02-06,1980-02-06,229.9040438699357,55.5,-132.5,10.18831900158483,228.72225611315332,13.806066081645708,183.80719943553424,1,0,,112.8667,0
1980-02-07,1980-02-07,519.3839769381068,55.5,-132.5,121.91280877439014,515.9310561225475,18.97485259573718,218.28220860321014,1,0,4.9036255,145.95013,0
1980-02-08,1980-02-08,161.28889490667407,55.5,-132.5,129.698207846202,141.8707941707923,13.62181032402712,345.2328499643569,1,0,4.206726,107.215515,0
1980-02-09,1980-02-09,47.97546159490315,55.5,-132.5,19.81974053372322,47.60700918335039,10.917100807342386,215.44687907075678,1,0,,59.8014,0
1980-02-10,1980-02-10,60.57420390074116,55.5,-132.5,47.67060113082339,50.00291158176034,11.348864299075489,263.8186349976815,1,0,,119.63182,0
1980-02-11,1980-02-11,100.7316817116791,55.5,-132.5,32.019541141098514,-0.2361668348985404,12.017135181184678,356.9700888076378,0,0,,337.58868,0
1980-02-12,1980-02-12,103.26934394621551,55.5,-132.5,1.7608251609637475,-36.77367841065045,11.13160751024163,358.8564375509406,0,0,,354.24432,0
1980-02-13,1980-02-13,124.99094197299505,55.5,-132.5,-20.87301543956147,-12.140806876998028,11.876880798519784,64.20118815739448,0,0,,66.47763,0
1980-02-14,1980-02-14,35.159564491675994,55.5,-132.5,-17.180970518908424,-5.626947231320955,3.0532300773372967,77.37736989035757,0,0,,47.86515,0
1980-02-15,1980-02-15,45.427858175944856,55.5,-132.5,-29.13998558798025,5.454101361325115,3.1879842881329736,97.27830083145932,0,0,,60.790382,0
1980-02-16,1980-02-16,41.61619160369063,55.5,-132.5,-4.178551450521596,8.748467159138812,3.740751560988727,126.3058063762416,0,0,,84.2344,0
1980-02-17,1980-02-17,124.70884765091412,55.5,-132.5,-6.104835756949271,106.90559354399691,13.481555941362227,169.7713109992264,0,0,,19.07299,0
1980-02-18,1980-02-18,97.37501624997128,55.5,-132.5,-5.061431757634281,92.60505110348744,13.542057831923554,174.09600225366478,0,0,2.6054688,16.32647,0
1980-02-19,1980-02-19,31.86443253043836,55.5,-132.5,31.85901744889621,24.69619249855512,11.89475635709472,273.40920563999504,0,0,3.0368652,85.2202,0
1980-02-20,1980-02-20,133.09877525135866,55.5,-132.5,24.3144039153878,131.61333702759964,9.089668703796876,228.34851168138766,0,0,7.0804443,106.17549,0
1980-02-21,1980-02-21,169.95811227536578,55.5,-132.5,33.223468832615815,168.5252083531031,10.283205999415763,199.20653076110565,0,0,17.56195,127.38213,0
1980-02-22,1980-02-22,165.23987995528825,55.5,-132.5,101.60656171079836,143.14361731994757,11.273236935873824,218.35690482967857,0,0,,126.41193,0
1980-02-23,1980-02-23,144.79237152675924,55.5,-132.5,-28.578152665272185,133.03590407665558,9.66856179303138,164.84095602531934,1,0,,108.50723,0
1980-02-24,1980-02-24,355.0517810981867,55.5,-132.5,-26.41108282054104,337.06196769125387,14.589840573008338,171.73650394921412,1,0,,106.065056,0
1980-02-25,1980-02-25,305.5169098446241,55.5,-132.5,-7.14823975626426,256.6494934446195,16.13951399715867,175.88438891585014,1,0,,113.84656,0
1980-02-26,1980-02-26,329.82962449117804,55.5,-132.5,-64.53545971858884,265.4095115888059,17.01404132436329,157.84466302845408,1,0,9.049438,94.02057,0
1980-02-27,1980-02-27,363.9627176573469,55.5,-132.5,-4.258813296622748,306.2147243117256,15.442367212736116,177.87897372727656,1,0,24.369934,100.53594,0
1980-02-28,1980-02-28,164.6628218900971,55.5,-132.5,-38.85166896621979,131.2389772778481,15.483618501755204,155.71105434596723,0,0,,88.10225,0
1980-02-29,1980-02-29,198.7078933654104,55.5,-132.5,8.342296541258307,198.6986041830786,15.32961368941728,182.41504015138315,0,0,,,0
1980-03-01,1980-03-01,169.9807539174104,55.5,-132.5,52.43327548388078,166.17187255237218,14.537588940250828,221.75519892337564,0,0,6.5723877,132.26562,0
1980-03-02,1980-03-02,75.0844408131259,55.5,-132.5,51.59073039850273,54.55336643296005,12.211016239574375,285.4931997062199,0,0,,137.23877,0
1980-03-03,1980-03-03,53.88098070825268,55.5,-132.5,46.3410264049935,-18.312344529068355,12.367771137846908,358.7181520253061,0,0,,31.737305,0
1980-03-04,1980-03-04,46.88196818928556,55.5,-132.5,5.963673467261998,-8.83653458333373,9.0525425436797,359.1231272313224,0,0,,75.973434,0
1980-03-05,1980-03-05,53.25399065551215,55.5,-132.5,37.98038671162695,-6.418569286835918,7.27186190102249,354.67514547213904,0,0,,11.541794,0
1980-03-06,1980-03-06,72.23654784170776,55.5,-132.5,40.50802196776101,-39.74728013045433,7.753126939578493,329.2998848497081,0,0,,326.84995,0
1980-03-07,1980-03-07,68.92950028020375,55.5,-132.5,67.85833166233999,4.560300167532489,11.132982553208931,321.05557841808525,0,0,,320.40247,0
1980-03-08,1980-03-08,218.6195698732916,55.5,-132.5,205.646858701854,77.68741278323637,14.741095299411654,294.7484068727525,1,0,,187.77597,0
1980-03-09,1980-03-09,202.4371408298867,55.5,-132.5,194.3697167898712,56.57922924894473,14.669593065111904,309.0545627837168,0,0,,33.22373,0
1980-03-10,1980-03-10,51.410146027955705,55.5,-132.5,29.68455817867408,51.02444410834164,10.02607296453013,231.77405286379437,0,0,3.3769531,344.37482,0
1980-03-11,1980-03-11,44.62455788957912,55.5,-132.5,34.480584049287444,5.998009262747416,8.902662860243687,332.1488215146309,0,0,,311.44702,0
1980-03-12,1980-03-12,30.442412494530448,55.5,-132.5,30.20304746198363,30.112311814306565,7.593621955371354,277.05743077207586,0,0,,117.40396,0
1980-03-13,1980-03-13,25.626616265353523,55.5,-132.5,11.79667790449446,24.55752667370353,7.538620236679243,359.4664550717556,0,0,,31.791965,0
1980-03-14,1980-03-14,13.642392586116138,55.5,-132.5,-1.359987659485455,10.245786134973288,6.933601331065979,153.52325974360286,0,0,,111.99595,0
1980-03-15,1980-03-15,59.64139101116915,55.5,-132.5,15.620536368902435,57.55948545022761,7.229235569036099,359.45124339353146,0,0,,131.49553,0
1980-03-16,1980-03-16,260.73110638409514,55.5,-132.5,63.06230579172663,254.00282818731955,13.77444009339774,198.32163702825048,1,0,14.955566,135.33618,0
1980-03-17,1980-03-17,198.8491844822228,55.5,-132.5,67.08059773737565,196.75586603239856,12.6510299891113,286.40562796704535,0,0,4.639282,185.66289,0
1980-03-18,1980-03-18,207.84804555241607,55.5,-132.5,193.39754938366576,82.06589048229995,12.146389220111146,288.05423835637635,1,0,,209.16983,0
1980-03-19,1980-03-19,178.72036803804912,55.5,-132.5,122.94781801398013,176.10513539203885,13.954570722114417,277.17829991108187,0,0,6.0390015,137.24014,0
1980-03-20,1980-03-20,167.44208643453413,55.5,-132.5,50.03526254857408,167.0214279268174,13.80881616758031,252.25225197054542,0,0,2.7216187,132.69823,0
1980-03-21,1980-03-21,276.3256452447016,55.5,-132.5,250.94985983102623,152.84038821492493,17.569558683153648,276.898212049245,1,0,4.3063354,154.27475,0
1980-03-22,1980-03-22,329.1082530682591,55.5,-132.5,179.2039052530667,276.41801998998835,17.344051636515978,296.2280675924776,1,0,,196.9675,0
1980-03-23,1980-03-23,105.04738857839246,55.5,-132.5,91.25516057168365,-4.523407297689005,7.7820028418918525,304.99551222184067,0,0,,290.2621,0
1980-03-24,1980-03-24,174.6745814368724,55.5,-132.5,17.824115822968025,159.11402790313537,11.325488568631336,283.8445067848273,1,0,,111.07076,0
